SP_ENTITY_ID,CompanyName,CompanyType,CompanyStatus,LFY,FY-1,FY-2,FY-3,company_type_pass,company_status_pass,growth_lfy_fy1_pass,growth_fy1_fy2_pass,growth_fy2_fy3_pass,screen_pass
5031604,"CVRx, Inc. (NASDAQGS:CVRX)",Public Company,Operating,51292.0,39295.0,22469.0,13036.0,True,True,True,True,True,True
5109836,"SoundHound AI, Inc. (NASDAQGM:SOUN)",Public Company,Operating,84693.0,45873.0,31129.0,21197.0,True,True,True,True,True,True
5174695,"Zscaler, Inc. (NASDAQGS:ZS)",Public Company,Operating,2167771.0,1616952.0,1090946.0,673100.0,True,True,True,True,True,True
5176861,"Castle Biosciences, Inc. (NASDAQGM:CSTL)",Public Company,Operating,332069.0,219788.0,137039.0,94085.0,True,True,True,True,True,True
5181255,"RxSight, Inc. (NASDAQGM:RXST)",Public Company,Operating,139927.0,89077.0,49005.0,22593.0,True,True,True,True,True,True
5214991,"TriSalus Life Sciences, Inc. (NASDAQGM:TLSI)",Public Company,Operating,29431.0,18511.0,12398.0,8401.0,True,True,True,True,True,True
5239538,iQSTEL Inc. (NASDAQCM:IQST),Public Company,Operating,283220.442,144502.351,93203.532,64702.018,True,True,True,True,True,True
5242080,"Duolingo, Inc. (NASDAQGS:DUOL)",Public Company,Operating,748024.0,531109.0,369495.0,250772.0,True,True,True,True,True,True
5244284,monday.com Ltd. (NASDAQGS:MNDY),Public Company,Operating,971995.0,729695.0,519029.0,308150.0,True,True,True,True,True,True
5250653,"electroCore, Inc. (NASDAQCM:ECOR)",Public Company,Operating,25182.0,16030.0,8592.0,5451.192,True,True,True,True,True,True
5255493,BioHarvest Sciences Inc. (NASDAQGM:BHST),Public Company,Operating,25188.0,12672.0,5498.0,2102.0,True,True,True,True,True,True
5255986,"Evolus, Inc. (NASDAQGM:EOLS)",Public Company,Operating,266274.0,202085.0,148616.0,99673.0,True,True,True,True,True,True
5263639,"SentinelOne, Inc. (NYSE:S)",Public Company,Operating,821461.0,621154.0,422179.0,204799.0,True,True,True,True,True,True
5264620,Grindr Inc. (NYSE:GRND),Public Company,Operating,344636.0,259691.0,195015.0,145833.0,True,True,True,True,True,True
5265242,Gauzy Ltd. (NASDAQGM:GAUZ),Public Company,Operating,103527.0,77980.0,49033.0,7312.0,True,True,True,True,True,True
5267913,PROCEPT BioRobotics Corporation (NASDAQGM:PRCT),Public Company,Operating,224498.0,136191.0,75014.0,34473.0,True,True,True,True,True,True
5277128,Nayax Ltd. (TASE:NYAX),Public Company,Operating,314013.0,235491.0,173514.0,119134.0,True,True,True,True,True,True
5293460,GitLab Inc. (NASDAQGS:GTLB),Public Company,Operating,759249.0,579906.0,424336.0,252653.0,True,True,True,True,True,True
5297753,Samsara Inc. (NYSE:IOT),Public Company,Operating,1249199.0,937385.0,652545.0,428345.0,True,True,True,True,True,True
5302933,"Rhythm Pharmaceuticals, Inc. (NASDAQGM:RYTM)",Public Company,Operating,130126.0,77428.0,23638.0,3154.0,True,True,True,True,True,True
5303886,"Klaviyo, Inc. (NYSE:KVYO)",Public Company,Operating,937464.0,698099.0,472748.0,290640.0,True,True,True,True,True,True
5309396,"Roadzen, Inc. (NASDAQGM:RDZN)",Public Company,Operating,46724.287,13560.498,9988.728,1164.84,True,True,True,True,True,True
5311902,"GRAIL, Inc. (NASDAQGS:GRAL)",Public Company,Operating,125595.0,93105.0,55550.0,14612.0,True,True,True,True,True,True
5321096,Metalpha Technology Holding Limited (NASDAQCM:MATH),Public Company,Operating,16763.545,5692.056,2032.916,225.749,True,True,True,True,True,True
5321237,"agilon health, inc. (NYSE:AGL)",Public Company,Operating,6060530.0,4316363.0,2708211.0,1833559.0,True,True,True,True,True,True
5326808,PDD Holdings Inc. (NASDAQGS:PDD),Public Company,Operating,54749516.56517936,34995275.29652969,19432424.882797416,14565494.800625104,True,True,True,True,True,True
5328081,"ACM Research, Inc. (NASDAQGM:ACMR)",Public Company,Operating,782118.0,557723.0,388832.0,259751.0,True,True,True,True,True,True
6319660,"NEXGEL, Inc. (NASDAQCM:NXGL)",Public Company,Operating,8688.0,4089.0,2048.0,1551.0,True,True,True,True,True,True
6459368,"Amprius Technologies, Inc. (NYSE:AMPX)",Public Company,Operating,24167.0,9053.0,4409.0,2772.0,True,True,True,True,True,True
6867615,"Rekor Systems, Inc. (NASDAQCM:REKR)",Public Company,Operating,46028.0,34933.0,19920.0,14294.0,True,True,True,True,True,True
6910410,"IonQ, Inc. (NYSE:IONQ)",Public Company,Operating,43073.0,22042.0,11131.0,2099.0,True,True,True,True,True,True
7106242,Symbotic Inc. (NASDAQGM:SYM),Public Company,Operating,1788179.0,1176891.0,593312.0,251913.0,True,True,True,True,True,True
7389138,Hippo Holdings Inc. (NYSE:HIPO),Public Company,Operating,372100.0,209700.0,119700.0,91200.0,True,True,True,True,True,True
