SP_ENTITY_ID,CompanyName
113050522,Scage Future (NASDAQGM:SCAG)
113253016,LZ Technology Holdings Limited (NASDAQCM:LZMH)
113495488,"Brand Engagement Network, Inc. (NASDAQCM:BNAI)"
117876626,LandBridge Company LLC (NYSE:LB)
118388161,Zenta Group Company Limited (NASDAQCM:ZTG)
118388356,Uni-Fuels Holdings Limited (NASDAQCM:UFG)
118428555,Linkhome Holdings Inc. (NASDAQCM:LHAI)
123916273,Yuanbao Inc. (NASDAQGM:YB)
131002399,Flowco Holdings Inc. (NYSE:FLOC)
131468609,Sagtec Global Limited (NASDAQCM:SAGT)
133988500,Julong Holding Limited (NASDAQCM:JLHL)
