surface_id,reference_only,variant_id,window_start,window_end,cost_bps,baseline_config_id,same_window_same_cost_same_engine,sharpe_c3,sharpe_surface,sharpe_delta,cagr_c3,cagr_surface,cagr_delta,max_dd_c3,max_dd_surface,max_dd_delta,ulcer_c3,ulcer_surface,ulcer_delta,turnover_annual_c3,turnover_annual_surface,turnover_metric_available,holdings_overlap,gross_exposure_delta,turnover_delta_abs,turnover_delta_rel,alert_level,alert_reasons
phase59_shadow_research,False,v_3516a4bd6b65,,,5.0,C3_LEAKY_INTEGRATOR_V1,True,0.4800600227634495,-0.8036313887871052,-1.2836914115505547,0.09015715597648,-0.05889864053976657,-0.14905579651624656,-0.4076655988167167,-0.4151519743100388,-0.007486375493322095,14.80122598840182,31.866947767982605,17.065721779580784,305.28364178026544,,False,,,,,,
phase50_shadow_reference_alerts,True,,2026-03-11,2026-04-10,,C3_LEAKY_INTEGRATOR_V1,False,,,,,,,,,,,,,305.28364178026544,,True,0.0,0.9999999999999998,0.0019000000000000006,0.0019000000000000006,RED,shadow latest basket vs locked C3 sample output | shadow latest gross exposure vs locked C3 top20 exposure latest row
