date,surface_id,reference_only,variant_id,net_ret,equity,notional_equity,turnover,gross_exposure,positions_count,is_observed_day,source_path
2026-03-11,phase50_shadow_reference,True,,0.0,1.0,100000.0,0.0,0.9999999999999998,5.0,True,E:\Code\Quant\data\processed\phase50_shadow_ship\phase50_curve_full_20260410.csv
2026-03-12,phase50_shadow_reference,True,,0.0008785531914893,1.0008785531914894,100087.85531914896,1.0,0.9999999999999998,5.0,True,E:\Code\Quant\data\processed\phase50_shadow_ship\phase50_curve_full_20260410.csv
2026-03-13,phase50_shadow_reference,True,,0.0008785531914893,1.0017578782386891,100175.78782386892,1.0,0.9999999999999998,5.0,True,E:\Code\Quant\data\processed\phase50_shadow_ship\phase50_curve_full_20260410.csv
2026-03-14,phase50_shadow_reference,True,,0.0008785531914893,1.0026379758197157,100263.79758197156,1.0,0.9999999999999998,5.0,True,E:\Code\Quant\data\processed\phase50_shadow_ship\phase50_curve_full_20260410.csv
2026-03-15,phase50_shadow_reference,True,,0.0008785531914893,1.0035188466132807,100351.88466132808,1.0,0.9999999999999998,5.0,True,E:\Code\Quant\data\processed\phase50_shadow_ship\phase50_curve_full_20260410.csv
2026-03-16,phase50_shadow_reference,True,,0.0008785531914893,1.0044004912986926,100440.04912986924,1.0,0.9999999999999998,5.0,True,E:\Code\Quant\data\processed\phase50_shadow_ship\phase50_curve_full_20260410.csv
2026-03-17,phase50_shadow_reference,True,,0.0008785531914893,1.0052829105558565,100528.29105558564,1.0,0.9999999999999998,5.0,True,E:\Code\Quant\data\processed\phase50_shadow_ship\phase50_curve_full_20260410.csv
2026-03-18,phase50_shadow_reference,True,,0.0008785531914893,1.006166105065275,100616.6105065275,1.0,0.9999999999999998,5.0,True,E:\Code\Quant\data\processed\phase50_shadow_ship\phase50_curve_full_20260410.csv
2026-03-19,phase50_shadow_reference,True,,0.0008785531914893,1.0070500755080487,100705.00755080488,1.0,0.9999999999999998,5.0,True,E:\Code\Quant\data\processed\phase50_shadow_ship\phase50_curve_full_20260410.csv
2026-03-20,phase50_shadow_reference,True,,0.0008785531914893,1.007934822565876,100793.4822565876,1.0,0.9999999999999998,5.0,True,E:\Code\Quant\data\processed\phase50_shadow_ship\phase50_curve_full_20260410.csv
2026-03-21,phase50_shadow_reference,True,,0.0008785531914893,1.0088203469210546,100882.03469210546,1.0,0.9999999999999998,5.0,True,E:\Code\Quant\data\processed\phase50_shadow_ship\phase50_curve_full_20260410.csv
2026-03-22,phase50_shadow_reference,True,,0.0008785531914893,1.0097066492564817,100970.66492564816,1.0,0.9999999999999998,5.0,True,E:\Code\Quant\data\processed\phase50_shadow_ship\phase50_curve_full_20260410.csv
2026-03-23,phase50_shadow_reference,True,,0.0008785531914893,1.010593730255654,101059.3730255654,1.0,0.9999999999999998,5.0,True,E:\Code\Quant\data\processed\phase50_shadow_ship\phase50_curve_full_20260410.csv
2026-03-24,phase50_shadow_reference,True,,0.0008785531914893,1.0114815906026693,101148.15906026692,1.0,0.9999999999999998,5.0,True,E:\Code\Quant\data\processed\phase50_shadow_ship\phase50_curve_full_20260410.csv
2026-03-25,phase50_shadow_reference,True,,0.0008785531914893,1.012370230982226,101237.0230982226,1.0,0.9999999999999998,5.0,True,E:\Code\Quant\data\processed\phase50_shadow_ship\phase50_curve_full_20260410.csv
2026-03-26,phase50_shadow_reference,True,,0.0008785531914893,1.0132596520796244,101325.96520796244,1.0,0.9999999999999998,5.0,True,E:\Code\Quant\data\processed\phase50_shadow_ship\phase50_curve_full_20260410.csv
2026-03-27,phase50_shadow_reference,True,,0.0008785531914893,1.0141498545807666,101414.98545807666,1.0,0.9999999999999998,5.0,True,E:\Code\Quant\data\processed\phase50_shadow_ship\phase50_curve_full_20260410.csv
2026-03-28,phase50_shadow_reference,True,,0.0008785531914893,1.015040839172157,101504.0839172157,1.0,0.9999999999999998,5.0,True,E:\Code\Quant\data\processed\phase50_shadow_ship\phase50_curve_full_20260410.csv
2026-03-29,phase50_shadow_reference,True,,0.0008785531914893,1.0159326065409038,101593.26065409038,1.0,0.9999999999999998,5.0,True,E:\Code\Quant\data\processed\phase50_shadow_ship\phase50_curve_full_20260410.csv
2026-03-30,phase50_shadow_reference,True,,0.0008785531914893,1.0168251573747185,101682.51573747184,1.0,0.9999999999999998,5.0,True,E:\Code\Quant\data\processed\phase50_shadow_ship\phase50_curve_full_20260410.csv
2026-03-31,phase50_shadow_reference,True,,0.0008785531914893,1.0177184923619167,101771.84923619169,1.0,0.9999999999999998,5.0,True,E:\Code\Quant\data\processed\phase50_shadow_ship\phase50_curve_full_20260410.csv
2026-04-01,phase50_shadow_reference,True,,0.0008785531914893,1.0186126121914192,101861.26121914192,1.0,0.9999999999999998,5.0,True,E:\Code\Quant\data\processed\phase50_shadow_ship\phase50_curve_full_20260410.csv
2026-04-02,phase50_shadow_reference,True,,0.0008785531914893,1.0195075175527513,101950.75175527512,1.0,0.9999999999999998,5.0,True,E:\Code\Quant\data\processed\phase50_shadow_ship\phase50_curve_full_20260410.csv
2026-04-03,phase50_shadow_reference,True,,0.0008785531914893,1.0204032091360449,102040.32091360446,1.0,0.9999999999999998,5.0,True,E:\Code\Quant\data\processed\phase50_shadow_ship\phase50_curve_full_20260410.csv
2026-04-04,phase50_shadow_reference,True,,0.0008785531914893,1.0212996876320375,102129.96876320375,1.0,0.9999999999999998,5.0,True,E:\Code\Quant\data\processed\phase50_shadow_ship\phase50_curve_full_20260410.csv
2026-04-05,phase50_shadow_reference,True,,0.0008785531914893,1.022196953732074,102219.6953732074,1.0,0.9999999999999998,5.0,True,E:\Code\Quant\data\processed\phase50_shadow_ship\phase50_curve_full_20260410.csv
2026-04-06,phase50_shadow_reference,True,,0.0008785531914893,1.0230950081281065,102309.50081281064,1.0,0.9999999999999998,5.0,True,E:\Code\Quant\data\processed\phase50_shadow_ship\phase50_curve_full_20260410.csv
2026-04-07,phase50_shadow_reference,True,,0.0008785531914893,1.0239938515126945,102399.38515126942,1.0,0.9999999999999998,5.0,True,E:\Code\Quant\data\processed\phase50_shadow_ship\phase50_curve_full_20260410.csv
