

--- ob_w_company_id_table_lms ---
                        name  nullable              type                                                                                           comment
15                          fias      True  DOUBLE PRECISION                                                                      FIXED ASSETS
16                          ifas      True  DOUBLE PRECISION                                                           INTANGIBLE FIXED ASSETS
17                          tfas      True  DOUBLE PRECISION                                                             TANGIBLE FIXED ASSETS
18                          ofas      True  DOUBLE PRECISION                                                                OTHER FIXED ASSETS
19                          cuas      True  DOUBLE PRECISION                                                                    CURRENT ASSETS
20                          stok      True  DOUBLE PRECISION                                                                             STOCK
21                          debt      True  DOUBLE PRECISION                                                                           DEBTORS
22                          ocas      True  DOUBLE PRECISION                                                              OTHER CURRENT ASSETS
23                          cash      True  DOUBLE PRECISION                                                            CASH & CASH EQUIVALENT
24                          toas      True  DOUBLE PRECISION                                                                      TOTAL ASSETS
25                          shfd      True  DOUBLE PRECISION                                                                SHAREHOLDERS FUNDS
26                          capi      True  DOUBLE PRECISION                                                                           CAPITAL
27                          osfd      True  DOUBLE PRECISION                                                          OTHER SHAREHOLDERS FUNDS
28                          ncli      True  DOUBLE PRECISION                                                           NON-CURRENT LIABILITIES
29                          ltdb      True  DOUBLE PRECISION                                                                    LONG TERM DEBT
30                          oncl      True  DOUBLE PRECISION                                                     OTHER NON-CURRENT LIABILITIES
31                          prov      True  DOUBLE PRECISION                                                                        PROVISIONS
32                          culi      True  DOUBLE PRECISION                                                               CURRENT LIABILITIES
33                          loan      True  DOUBLE PRECISION                                                                             LOANS
34                          cred      True  DOUBLE PRECISION                                                                         CREDITORS
35                          ocli      True  DOUBLE PRECISION                                                         OTHER CURRENT LIABILITIES
36                          tshf      True  DOUBLE PRECISION                                                       TOTAL SHAREH. FUNDS & LIAB.
37                          wkca      True  DOUBLE PRECISION                                                                   WORKING CAPITAL
38                          ncas      True  DOUBLE PRECISION                                                                NET CURRENT ASSETS
39                          enva      True  DOUBLE PRECISION                                                                  ENTERPRISE VALUE
40                          empl      True  DOUBLE PRECISION                                                               NUMBER OF EMPLOYEES
41                          opre      True  DOUBLE PRECISION                                                      OPERATING REVENUE (TURNOVER)
42                          turn      True  DOUBLE PRECISION                                                                             SALES
43                          cost      True  DOUBLE PRECISION                                                               COSTS OF GOODS SOLD
